slurm+omppfor,randsum,256,512,256,214528
slurm+omppfor,sumprefix,256,256,256,82688
slurm+omppfor,randsum,65536,14336,54784,8706816
slurm+omppfor,sumprefix,65536,8704,24320,3390720
slurm+omppfor,randsum,1048576,16384,518912,151261696
slurm+omppfor,sumprefix,1048576,8960,307712,30475264
slurm+omppfor,randsum,4194304,16128,1852160,408784384
slurm+omppfor,sumprefix,4194304,11776,1216512,139746304
slurm+cuda,randsum,256,1024,256,242314240
slurm+cuda,sumprefix,256,256,256,18176
slurm+cuda,randsum,65536,12800,256,6984704
slurm+cuda,sumprefix,65536,512,256,2117888
slurm+cuda,randsum,1048576,22016,1024,68501504
slurm+cuda,sumprefix,1048576,512,256,22824448
slurm+cuda,randsum,4194304,25088,1536,173498112
slurm+cuda,sumprefix,4194304,256,1280,93650176
slurm+cuda,randsum,256,256,256,297264384
slurm+cuda,sumprefix,256,256,256,19712
slurm+cuda,randsum,65536,13568,512,7527168
slurm+cuda,sumprefix,65536,512,256,2120448
slurm+cuda,randsum,1048576,23296,1024,67123200
slurm+cuda,sumprefix,1048576,512,256,22784256
slurm+cuda,randsum,4194304,23040,1024,173060352
slurm+cuda,sumprefix,4194304,256,1280,93516032
slurm+cuda,randsum,256,512,256,233671424
slurm+cuda,sumprefix,256,256,256,15872
slurm+cuda,randsum,65536,11520,512,5969664
slurm+cuda,sumprefix,65536,512,512,2112768
slurm+cuda,randsum,1048576,20736,1024,68568576
slurm+cuda,sumprefix,1048576,512,256,22783232
slurm+cuda,randsum,4194304,24320,1536,173657088
slurm+cuda,sumprefix,4194304,256,1280,93346560
slurm+cuda,randsum,256,512,256,178734080
slurm+cuda,sumprefix,256,0,256,7936
slurm+cuda,randsum,65536,6400,256,3086592
slurm+cuda,sumprefix,65536,512,256,1392896
slurm+cuda,randsum,1048576,14080,512,44950784
slurm+cuda,sumprefix,1048576,512,768,22168064
slurm+cuda,randsum,4194304,27904,1280,176504576
slurm+cuda,sumprefix,4194304,256,1024,94265088
slurm+cuda,randsum,256,768,256,285889280
slurm+cuda,sumprefix,256,256,0,16128
slurm+cuda,randsum,65536,11520,512,6120448
slurm+cuda,sumprefix,65536,512,256,2115072
slurm+cuda,randsum,1048576,24832,1536,66391552
slurm+cuda,sumprefix,1048576,512,256,22765568
slurm+cuda,randsum,4194304,22272,1280,173051648
slurm+cuda,sumprefix,4194304,256,1024,93155328
slurm+cuda,randsum,256,512,256,233646592
slurm+cuda,sumprefix,256,256,0,17408
slurm+cuda,randsum,65536,13056,256,6523392
slurm+cuda,sumprefix,65536,512,256,2122240
slurm+cuda,randsum,1048576,23040,256,67258880
slurm+cuda,sumprefix,1048576,256,1024,22163968
slurm+cuda,randsum,4194304,23040,1536,174208512
slurm+cuda,sumprefix,4194304,512,1024,95510272
slurm+cuda,randsum,256,512,256,177154816
slurm+cuda,sumprefix,256,256,0,15360
slurm+cuda,randsum,65536,9216,256,5640704
slurm+cuda,sumprefix,65536,256,256,1425152
slurm+cuda,randsum,1048576,12800,256,44401920
slurm+cuda,sumprefix,1048576,512,1024,22178816
slurm+cuda,randsum,4194304,21504,1024,174749696
slurm+cuda,sumprefix,4194304,512,1280,94181120
slurm+cuda,randsum,256,512,256,266504704
slurm+cuda,sumprefix,256,256,0,16896
slurm+cuda,randsum,65536,12544,512,6812160
slurm+cuda,sumprefix,65536,512,256,2111488
slurm+cuda,randsum,1048576,23296,256,51886336
slurm+cuda,sumprefix,1048576,512,1024,22172928
slurm+cuda,randsum,4194304,29952,1024,174352384
slurm+cuda,sumprefix,4194304,512,1280,94324480
slurm+cuda,randsum,256,512,256,251165952
slurm+cuda,sumprefix,256,256,256,17664
slurm+cuda,randsum,65536,13824,512,6947072
slurm+cuda,sumprefix,65536,512,256,2115328
slurm+cuda,randsum,1048576,24320,1280,67245568
slurm+cuda,sumprefix,1048576,256,256,22841088
slurm+cuda,randsum,4194304,26112,1280,173191424
slurm+cuda,sumprefix,4194304,256,1024,93613568
slurm+cuda,randsum,256,512,256,181000704
slurm+cuda,sumprefix,256,512,256,18176
slurm+cuda,randsum,65536,12544,256,8118784
slurm+cuda,sumprefix,65536,256,256,1386752
slurm+cuda,randsum,1048576,14336,256,44476160
slurm+cuda,sumprefix,1048576,256,1024,22333696
slurm+cuda,randsum,4194304,21760,2048,174917120
slurm+cuda,sumprefix,4194304,256,1280,95867648
slurm+cuda,randsum,256,768,256,266941696
slurm+cuda,sumprefix,256,256,256,15360
slurm+cuda,randsum,65536,10496,512,5799424
slurm+cuda,sumprefix,65536,512,256,2119680
slurm+cuda,randsum,1048576,22784,1024,66778368
slurm+cuda,sumprefix,1048576,512,256,22930688
slurm+cuda,randsum,4194304,23552,1024,173088768
slurm+cuda,sumprefix,4194304,512,1280,93151744
